filename	id_v1	value1	id_v2	value2	id_v3	value3
NY_01498039.jpg	37	Harold E. Box	75	Harold E. Box		
NY_01498043.jpg	37	Stewardson Brown, N.L. Britton	75	Stewardson Brown, N. L. Britton		
NY_01498065.jpg	75	D. S. Correll & G. R. Proctor	80	D.S. Correll & G.R. Proctor		
NY_01498090.jpg	75	D. S. Correll	80	D.S. Correli		
NY_01498103.jpg	37	N.L. Britton, Percy Wilson, Brother Leon	75	N. L. Britton, Percy Wilson, Brother Leon	80	N. L. BRITTON, PERCY WILSON, BROTHER LEON
NY_01498113.jpg	37	C. Wright	75	C. Wright	80	C. WRIGHT
NY_01498139.jpg	37	C. Wright	75	C. Wright	80	C. WRIGHT
NY_01498155.jpg	37	H.H. & G.W. Smith	75	H. H. & G. W. Smith		
NY_01498166.jpg	37	Sue A. Thompson and John E. Rawlins	75	Sue A. Thompson and John E. Rawlins 		
NY_01498191.jpg	37	D.S. Correll & G.R. Proctor	75	D. S. Correll & G. R. Proctor		
TENN-L-0000013_lg.jpg	37	M. Togashi	75	M. Togashi	80	M. TOGASHI
TENN-L-0000019_lg.jpg	37	A.J. Sharp	75	A. J. Sharp		
TENN-L-0000028_lg.jpg	37	H.A. Sierk	75	H. A. Sierk	80	H. A. Sierk
TENN-L-0000035_lg.jpg	75	Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura	80	Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura		
TENN-L-0000047_lg.jpg	75	A. J. Sharp and Z. Iwatsuki	80	A. J. Sharp and Z. Iwatsuki		
TENN-L-0000057_lg.jpg	37		75	Donald Richards and Francis Drouet	80	
TENN-L-0000058_lg.jpg	37	E. Hall	75	E. Hall	80	E. Hall
TENN-L-0000061_lg.jpg	37	W.W. Jeffrey	75	W. W. Jeffrey	80	Howard Crum
TENN-L-0000063_lg.jpg	37	Edward Tuckerman	75	Edward Tuckerman	80	Edward Tuckerman
TENN-L-0000072_lg.jpg	37	Walter Kiener	75	Walter Kiener		
TENN-L-0000084_lg.jpg	37	Barbara Moore	75	Barbara Moore	80	Barbara Moore
TENN-L-0000089_lg.jpg	37	Walter Kiener	75	Walter Kiener		
WIS-L-0011734_lg.jpg	37	Stephen S. Talbot	75	Stephen S. Talbot		
WIS-L-0012025_lg.jpg	37	Stephen & Sandra Talbot	75	Stephen & Sandra Talbot	80	Stephern & Sandra Talbot
WIS-L-0012041_lg.jpg	37	Stephen S. Talbot	75	Stephen S. Talbot		
WIS-L-0012052_lg.jpg	37	Stephen S. Talbot	75	Stephen S. Talbot		
WIS-L-0012056_lg.jpg	37	Stephen S. Talbot	75	Stephen S. Talbot	80	Stephern S Talbot
WIS-L-0012062_lg.jpg	37	Stephen S. Talbot	75	Stephen S. Talbot		
WIS-L-0012070_lg.jpg	37	Stephen S. Talbot	75	Stephen S. Talbot	80	Stephern S. Talbot
WIS-L-0012071_lg.jpg	37	L. Geiser	75	L. Geiser	80	L. Geiser
WIS-L-0012077_lg.jpg	37	N. Grulke	75	N. Grulke		
